"city","Latitude","Longitude","confirmedcases_09-02-2020","deaths_09-02-2020","confirmedcases_05-02-2020","deaths_05-02-2020","confirmedcases_06-02-2020","deaths_06-02-2020","confirmedcases_07-02-2020","deaths_07-02-2020","confirmedcases_08-02-2020","deaths_08-02-2020"
" Tieling, Liaoning",42.223828,123.726035,3,0,3,0,3,0,3,0,3,0
" Benxi, Liaoning",41.486981,123.685142,3,0,3,0,3,0,3,0,3,0
" Dezhou, Shandong",37.434092,116.357464,29,0,19,0,26,0,27,0,27,0
" Liaocheng, Shandong",36.45703,115.98546,27,0,10,0,15,0,20,0,20,0
" Changzhou, Jiangsu",31.811226,119.974061,29,0,19,0,24,0,27,0,27,0
" Suqian, Jiangsu",33.963232,118.275198,12,0,10,0,11,0,11,0,11,0
" Yancheng, Jiangsu",33.347316,120.16366,16,0,15,0,15,0,16,0,16,0
" Chengde, Hebei",40.952942,117.96275,6,0,3,0,4,0,5,0,5,0
" Baoding, Hebei",38.874434,115.464589,18,0,13,0,17,0,17,0,17,0
" Yiyang, Hunan",28.55386,112.35518,43,0,35,0,40,0,41,0,41,0
" Changde, Hunan",29.031654,111.698784,64,0,50,0,56,0,62,0,62,0
" Hengyang, Hunan",26.893368,112.572018,43,0,35,0,39,0,43,0,43,0
" Shaoyang, Hunan",27.23895,111.467674,83,0,55,0,68,0,74,0,74,0
" Dongguan, Guangdong",23.020673,113.751799,63,0,37,0,44,0,44,0,47,0
" Shantou, Guangdong",23.354091,116.681972,22,0,18,0,20,0,20,0,21,0
" Zhumadian, Henan",33.011529,114.022298,106,0,72,0,82,0,98,0,98,0
" Gushi County (Xinyang), Henan",32.168137,115.654481,1,0,1,0,1,0,1,0,1,0
" Xinxiang, Henan",35.303704,113.926763,39,0,31,0,37,0,39,0,39,0
" Pingdingshan, Henan",33.766169,113.192661,46,1,28,0,34,0,41,0,41,0
" Ma'anshan, Anhui",31.67044,118.507011,22,0,20,0,22,0,22,0,22,0
" Tongling, Anhui",30.945515,117.81154,22,0,19,0,19,0,20,0,20,0
" Wuhu, Anhui",31.352859,118.432941,27,0,21,0,23,0,26,0,26,0
" Shizhu County, Chongqing",29.999285,108.114069,12,0,12,0,12,0,12,0,12,0
" Hechuan District, Chongqing",29.972084,106.27613,16,0,9,0,9,0,11,0,15,0
" Bishan District, Chongqing",29.592024,106.227305,8,0,8,0,8,0,8,0,8,0
" Liangping District, Chongqing",30.674362,107.803911,4,0,3,0,3,0,3,0,4,0
" Chengkou County, Chongqing",31.947633,108.664214,2,0,2,0,2,0,2,0,2,0
" Fengdu County, Chongqing",29.8635,107.730894,9,0,6,0,6,0,9,0,9,0
" Melbourne, Victoria",-37.8136276,144.9630576,4,0,4,0,4,0,4,0,4,0
" Jiaxing, Zhejiang",30.753924,120.758543,35,0,23,0,27,0,27,0,30,0
" Danzhou, Hainan",19.521134,109.580811,11,0,8,0,8,0,8,0,11,0
" Neijiang, Sichuan",29.580228,105.058433,17,0,15,0,15,0,16,0,16,0
" Luzhou, Sichuan",28.871569,105.44174,13,0,9,0,10,0,12,0,12,0
" Zigong, Sichuan",29.33903,104.778442,9,0,9,0,9,0,9,0,9,0
" Johor Bahru, Johor",1.492659,103.7413591,7,0,6,0,6,0,6,0,6,0
" Chaoyang, Liaoning",41.57365,120.4493879,6,0,6,0,6,0,6,0,6,0
" Heze, Shandong",35.23375,115.480656,14,0,10,0,12,0,13,0,13,0
" Binzhou, Shandong",37.38198,117.970699,11,0,11,0,11,0,11,0,11,0
" Zhangzhou, Fujian",24.513025,117.647093,15,0,12,0,14,0,14,0,15,0
" Sanming, Fujian",26.263406,117.638678,11,0,10,0,10,0,10,0,10,0
" Tongchuan, Shaanxi",34.897887,108.945019,8,0,7,0,7,0,7,0,7,0
" Shangluo, Shaanxi",33.870422,109.940477,7,0,5,0,6,0,6,0,6,0
" Guyuan, Ningxia",36.015855,106.24261,2,0,2,0,2,0,2,0,2,0
" Sydney, NSW",-33.8688197,151.2092955,4,0,4,0,4,0,4,0,4,0
" Xilin Gol, Inner Mongolia",43.933454,116.0482221,1,0,1,0,1,0,1,0,1,0
" Qianxinan, Guizhou",25.087856,104.906397,3,0,3,0,3,0,3,0,3,0
" Xining, Qinghai",36.617134,101.778223,15,0,12,0,14,0,14,0,15,0
" Dali Prefecture, Yunnan",25.606486,100.267638,11,0,7,0,7,0,8,0,11,0
" Honghe, Yunnan",23.36225,103.374576,5,0,4,0,5,0,5,0,5,0
" Yuxi, Yunnan",24.347324,102.527197,14,0,12,0,12,0,13,0,13,0
" Qujing, Yunnan",25.489999,103.796167,11,0,7,0,10,0,10,0,10,0
" Lingshui, Hainan",18.506048,110.037503,4,0,5,0,5,0,5,0,4,0
" Nanning, Guangxi",22.817002,108.366543,31,0,27,0,28,0,30,0,30,0
" Pingxiang, Jiangxi",27.622768,113.854556,24,0,20,0,22,0,22,0,23,0
" Yangquan, Shanxi",37.856971,113.580519,4,0,2,0,2,0,3,0,4,0
" Jinzhong, Shanxi",37.687357,112.752652,30,0,19,0,21,0,26,0,27,0
" Toronto, Ontario",43.653226,-79.3831843,2,0,2,0,2,0,2,0,2,0
" Goyang, Gyeonggi ",37.6583599,126.8320201,1,0,1,0,1,0,1,0,1,0
" Anyang, Henan",36.097577,114.392392,39,0,32,0,34,0,36,0,36,0
" Luohe, Henan",33.580873,114.016536,26,0,23,0,24,0,26,0,26,0
" Zibo, Shandong",36.813546,118.055019,15,0,12,0,14,0,15,0,15,0
" Xiangxi Prefecture, Hunan",28.312001,109.738781,8,0,6,0,7,0,7,0,7,0
" Suzhou, Anhui",33.646357,116.964358,27,0,24,0,25,0,25,0,25,0
" Huangshan, Anhui",29.714699,118.337521,9,0,9,0,9,0,9,0,9,0
" Huainan, Anhui",32.625478,116.999932,14,0,8,0,12,0,12,0,12,0
" Huaibei, Anhui",33.955844,116.798265,22,0,11,0,14,0,17,0,17,0
" Xuancheng, Anhui",30.940195,118.75868,5,0,4,0,4,0,5,0,5,0
" Taizhou, Jiangsu",32.455536,119.922933,29,0,23,0,26,0,28,0,28,0
" Huai'an, Jiangsu",33.551052,119.113185,37,0,22,0,26,0,34,0,34,0
" Jieyang, Guangdong",23.549701,116.372708,7,0,6,0,6,0,6,0,7,0
" Qiqihar, Heilongjiang",47.354348,123.918186,27,0,6,0,20,0,27,0,27,0
" Lishui, Zhejiang",28.46763,119.922796,16,0,16,0,16,0,16,0,16,0
" Huzhou, Zhejiang",30.89441,120.086809,9,0,9,0,9,0,9,0,9,0
" Handan, Hebei",36.625656,114.538961,22,0,14,0,14,0,18,0,18,0
" Yakeshi (Hulun Buir), Inner Mongolia",49.285901,120.711735,1,0,1,0,1,0,1,0,1,0
" Otog Qianqi (Ordos), Inner Mongolia",38.182362,107.477514,1,0,1,0,1,0,1,0,1,0
" Dongsheng (Ordos), Inner Mongolia",39.822507,109.963338,1,0,1,0,1,0,1,0,1,0
" Erenhot (Xilin Gol), Inner Mongolia",43.653169,111.977943,1,0,1,0,1,0,1,0,1,0
" Dingxi, Gansu",35.580662,104.626282,6,0,3,0,3,0,3,0,3,0
" Jiangbei District, Chongqing",29.606703,106.574271,20,0,16,0,16,0,18,0,19,0
" Tongliang District, Chongqing",29.844811,106.056404,7,0,7,0,7,0,7,0,7,0
" Dazu District, Chongqing",29.707032,105.721733,10,0,7,0,7,0,7,0,8,0
" Garze, Sichuan",30.04952,101.96231,17,0,8,0,10,0,12,0,12,0
" Nanchong, Sichuan",30.837793,106.110698,30,0,27,0,28,0,29,0,29,0
" Meishan, Sichuan",30.07728,103.848396,5,0,5,0,5,0,5,0,5,0
" Leshan, Sichuan",29.552115,103.765678,3,0,2,0,2,0,2,0,2,0
" Yingkou, Liaoning",40.667433,122.235084,1,0,1,0,1,0,1,0,1,0
" Dandong, Liaoning",40.000787,124.35445,7,0,3,0,3,0,7,0,7,0
" Panjin, Liaoning",41.119997,122.070714,11,0,6,0,6,0,8,0,11,0
" Hanzhong, Shaanxi",33.06748,107.023323,22,0,17,0,20,0,20,0,21,0
" Ili, Xinjiang",43.916823,81.324136,9,0,7,0,9,0,9,0,9,0
" Orange County, California",33.7174708,-117.8311428,1,0,1,0,1,0,1,0,1,0
" Meizhou, Guangdong",24.288578,116.122523,12,0,9,0,10,0,10,0,12,0
" Nanping, Fujian",26.641774,118.17771,12,0,11,0,12,0,12,0,12,0
" Putian, Fujian",25.454084,119.007777,44,0,37,0,38,0,38,0,42,0
" Dehong, Yunnan",24.433353,98.584895,4,0,4,0,4,0,4,0,4,0
" Baoshan, Yunnan",25.112046,99.1617610000001,9,0,7,0,8,0,8,0,9,0
" Zhaotong, Yunnan",27.338257,103.717465,10,0,8,0,10,0,10,0,10,0
" Jiamusi, Heilongjiang",46.799777,130.3188779,13,0,11,0,11,0,13,0,13,0
" Hua Hin District, Prachuap Khiri Khan",12.568452,99.9577223,3,0,3,0,3,0,3,0,3,0
" Zhenjiang, Jiangsu",32.187849,119.425836,9,0,5,0,6,0,8,0,8,0
" Los Angeles County, California",34.0522342,-118.2436849,1,0,1,0,1,0,1,0,1,0
" Shuozhou, Shanxi",39.331595,112.432825,4,0,3,0,4,0,4,0,4,0
" Lvliang, Shanxi",37.518314,111.144319,6,0,5,0,5,0,6,0,6,0
" Linfen, Shanxi",36.088005,111.518975,2,0,1,0,1,0,1,0,2,0
" Tempe (Maricopa County), Arizona",33.4255104,-111.9400054,1,0,1,0,1,0,1,0,1,0
" Baotou, Inner Mongolia",40.657978,109.840313,3,0,3,0,3,0,3,0,3,0
" Tongliao, Inner Mongolia",43.65289,122.243444,1,0,1,0,1,0,1,0,1,0
" Hinggan, Inner Mongolia",46.082462,122.037657,1,0,1,0,1,0,1,0,1,0
" Shangqiu, Henan",34.414961,115.656339,64,0,52,0,53,0,57,0,57,0
" Hebi, Henan",35.748233,114.297201,11,0,10,0,10,0,10,0,10,0
" Xuchang, Henan",34.035771,113.852454,28,0,19,0,24,0,26,0,26,0
" Kaifeng, Henan",34.797281,114.307582,20,0,12,0,17,0,18,0,18,0
" Xuzhou, Jiangsu",34.205768,117.284124,49,0,39,0,45,0,45,0,45,0
" Shanwei, Guangdong",22.786186,115.375158,5,0,5,0,5,0,5,0,5,0
" Tongnan District, Chongqing",30.191013,105.840555,13,0,5,0,7,0,10,0,13,0
" Jiangjin District, Chongqing",29.290069,106.259281,4,0,3,0,3,0,4,0,4,0
" Dadukou District, Chongqing",29.484527,106.482346,3,0,3,0,3,0,3,0,3,0
" Qijiang District, Chongqing",29.028066,106.651361,15,0,10,0,12,0,13,0,14,0
" Banan District, Chongqing",29.402408,106.540256,3,0,3,0,3,0,3,0,3,0
" Qitaihe, Heilongjiang",45.771726,131.0031381,10,0,8,0,9,0,10,0,10,0
" Shuangyashan, Heilongjiang",46.646508,131.159133,36,0,12,0,16,0,36,0,36,0
" Qiannan, Guizhou",26.254092,107.522097,7,0,6,0,6,0,6,0,6,0
" Linxia, Gansu",35.601182,103.210538,2,0,2,0,2,0,2,0,2,0
" Zhangye, Gansu",38.925875,100.449818,2,0,2,0,2,0,2,0,2,0
" Longnan, Gansu",33.400684,104.921841,4,0,4,0,4,0,4,0,4,0
" Langfang, Hebei",39.538047,116.683752,15,0,12,0,13,0,14,0,14,0
" Xingtai, Hebei",37.070834,114.504677,19,0,16,0,16,0,19,0,19,0
" Ziyang, Sichuan ",30.128901,104.627636,2,0,2,0,2,0,2,0,2,0
" Liangshan Prefecture, Sichuan",27.88157,102.267712,7,0,6,0,7,0,7,0,7,0
" Yibin, Sichuan ",28.751836,104.643159,9,0,7,0,7,0,8,0,8,0
" Seongnam, Gyeonggi",37.4449168,127.1388684,4,0,4,0,4,0,4,0,4,0
" Weinan, Shaanxi",34.49938,109.502882,9,0,6,0,9,0,9,0,9,0
" Zaozhuang, Shandong",34.810487,117.323725,20,0,16,0,17,0,19,0,19,0
" Sihanoukville, Preah Sihanouk Province",10.6267867,103.5115545,1,0,1,0,1,0,1,0,1,0
" Colombo (commercial capital), Western Province",6.9270786,79.8612430000001,1,0,1,0,1,0,1,0,1,0
" Starnberg Area, Bavaria",47.9999615,11.339009,5,0,5,0,5,0,5,0,5,0
" Yingtan, Jiangxi",28.260189,117.069202,10,0,8,0,9,0,9,0,9,0
