"city","Latitude","Longitude","confirmedcases_14-02-2020","deaths_14-02-2020","confirmedcases_05-02-2020","deaths_05-02-2020","confirmedcases_06-02-2020","deaths_06-02-2020","confirmedcases_07-02-2020","deaths_07-02-2020","confirmedcases_08-02-2020","deaths_08-02-2020","confirmedcases_09-02-2020","deaths_09-02-2020","confirmedcases_10-02-2020","deaths_10-02-2020","confirmedcases_11-02-2020","deaths_11-02-2020","confirmedcases_12-02-2020","deaths_12-02-2020","confirmedcases_13-02-2020","deaths_13-02-2020"
" Pingdingshan, Henan",33.766169,113.192661,56,1,28,0,34,0,41,0,41,0,46,1,46,1,52,1,52,1,52,1
" Qionghai, Hainan",19.258341,110.474648,6,1,6,0,6,0,6,0,6,0,6,0,6,0,6,1,6,1,6,1
" Xingtai, Hebei",37.070834,114.504677,21,1,16,0,16,0,19,0,19,0,19,0,19,0,21,1,21,1,21,1
" Hechi, Guangxi",24.692931,108.085261,21,1,8,0,9,0,11,0,11,0,11,0,11,0,21,1,21,1,21,1
" Qiqihar, Heilongjiang",47.354348,123.918186,33,1,6,0,20,0,27,0,27,0,27,0,27,0,30,1,30,1,30,1
" Shuangyashan, Heilongjiang",46.646508,131.159133,39,2,12,0,16,0,36,0,36,0,36,0,36,0,38,2,38,2,38,2
" Chengdu, Sichuan",30.572815,104.066801,131,1,87,0,92,0,97,0,97,0,102,0,102,0,123,1,123,1,123,1
" Qingdao, Shandong",36.067108,120.382609,53,1,32,0,41,0,43,0,43,0,46,0,46,0,52,1,52,1,52,1
" Jiulongpo District, Chongqing",29.502272,106.510676,20,1,15,0,19,0,19,0,19,0,19,0,19,0,20,1,20,1,20,1
" Ganzhou, Jiangxi",25.830694,114.933546,76,1,43,0,49,0,49,0,53,0,60,0,60,0,71,1,71,1,71,1
" Bengbu, Anhui",32.916287,117.389719,146,4,43,0,48,0,64,0,64,0,88,0,88,0,126,3,126,3,126,3
" Yueyang, Hunan",29.356803,113.12873,148,1,83,0,89,0,93,0,93,0,107,0,107,0,124,1,124,1,124,1
" Jiaozuo, Henan",35.215892,113.241823,29,1,12,0,15,0,17,0,17,0,18,0,18,0,25,1,25,1,25,1
" Xinxiang, Henan",35.303704,113.926763,54,2,31,0,37,0,39,0,39,0,39,0,39,0,46,1,46,1,46,1
" Shiyan, Hubei",32.629398,110.798266,562,1,291,0,318,0,353,0,353,0,438,0,438,0,481,0,505,1,562,1
" Enshi, Hubei",30.272156,109.488172,229,4,123,0,138,0,144,0,144,0,160,0,160,0,187,0,195,2,229,4
" Kanagawa prefecture",35.4913535,139.284143,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
" Huludao, Liaoning",40.71104,120.83694,11,1,6,0,6,0,7,0,7,0,9,0,9,0,9,0,9,0,9,0
" Ding'an, Hainan",19.681434,110.35889,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
" Harbin, Heilongjiang",45.803775,126.534967,159,1,63,0,73,0,73,0,94,0,94,0,94,0,128,0,128,0,128,0
" Kaizhou District, Chongqing",31.2699214,108.3816532,20,1,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0
" Dezhou, Shandong",37.434092,116.357464,35,1,19,0,26,0,27,0,27,0,29,0,29,0,32,0,32,0,32,0
" Shaoyang, Hunan",27.23895,111.467674,99,1,55,0,68,0,74,0,74,0,83,0,83,0,89,0,89,0,89,0
" Hefei, Anhui",31.820591,117.227219,161,1,81,0,93,0,104,0,104,0,115,0,115,0,147,0,147,0,147,0
" Shangqiu, Henan",34.414961,115.656339,87,2,52,0,53,0,57,0,57,0,64,0,64,0,83,0,83,0,83,0
" Bangkok - Nonthaburi, Bangkok Metropolitan Region",13.8150158,100.5045102,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0
" Shenzhen, Guangdong",22.543096,114.057865,391,0,271,0,289,0,289,0,316,0,339,0,339,0,368,0,368,0,368,0
" Zhuhai, Guangdong",22.270978,113.576677,89,0,64,0,69,0,69,0,73,0,76,0,76,0,85,0,85,0,85,0
" Zhanjiang, Guangdong",21.270702,110.359368,21,0,18,0,18,0,18,0,19,0,20,0,20,0,21,0,21,0,21,0
" Huizhou, Guangdong",23.112257,114.415801,55,0,29,0,31,0,31,0,35,0,39,0,39,0,50,0,50,0,50,0
" Incheon, SCA",37.4562557,126.7052062,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,1,0,1,0
